Price,Close,High,Low,Open,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2020-01-02,9.593304634094238,9.593304634094238,9.471434889572885,9.533932225020695,37774500
2020-01-03,9.51518440246582,9.762047655413072,9.51518440246582,9.649552676540543,71595600
2020-01-06,9.627677917480469,9.66830136553101,9.358940797536157,9.508933691833278,81844000
2020-01-07,9.590180397033691,9.649552214355941,9.521433203896004,9.630803250781485,32822000
2020-01-08,9.530806541442871,9.615177758788661,9.44956025022308,9.590178945799394,48215600
2020-01-09,9.499558448791504,9.568305635669788,9.4526857461137,9.52143233697323,36102700
2020-01-10,9.458934783935547,9.512057334666004,9.415186415321894,9.496432704440164,25397500
2020-01-13,9.477686882019043,9.508935556797699,9.440188353080877,9.483936736178553,30676800
2020-01-14,9.374567031860352,9.458938278191635,9.302695494327295,9.446438569393406,39796500
2020-01-15,9.233945846557617,9.35269066466947,9.230821516203042,9.343315885549451,34405700
2020-01-16,9.224570274353027,9.280817748565456,9.165197874237831,9.249569085556477,28997400
2020-01-17,9.327691078186035,9.327691078186035,9.230820752699934,9.287067634711445,34908000
2020-01-20,9.374567031860352,9.405815707837002,9.26519696395153,9.280821599949315,31241400
2020-01-21,9.255821228027344,9.355816497588346,9.233946741294407,9.312068120141292,28577400
2020-01-22,9.152701377868652,9.315193399039957,9.146451524280067,9.290194580704462,32491500
2020-01-23,9.265193939208984,9.29956753116349,9.00583102650732,9.090202245294526,53752100
2020-01-24,9.155824661254883,9.305818150128058,9.105827030303416,9.23707096055571,36898700
2020-01-27,8.7589693069458,8.94958506813003,8.646474329446447,8.946460141419623,66105300
2020-01-28,8.999580383300781,9.105825479988553,8.880836179012569,8.883961104917347,47259100
2020-01-29,9.015207290649414,9.087078816562695,8.958959802188994,9.062079999026823,42297500
2020-01-30,9.043328285217285,9.074576946640544,8.805839292826619,8.837087954249878,44266800
2020-01-31,8.890213012695312,9.012082171072008,8.84646463592975,8.946459903933071,55446700
2020-02-03,8.805842399597168,8.97770920403309,8.79959254590379,8.912087528309181,39452800
2020-02-04,8.94645881652832,9.074578408606335,8.924584928813625,8.952708669023588,57658400
2020-02-05,8.87146282196045,9.130825753404297,8.87146282196045,9.077703196553447,67994500
2020-02-06,9.118327140808105,9.2214473337253,8.787092672046633,8.968334241295604,126114000
2020-02-07,9.040203094482422,9.171446991798112,8.977705773467854,9.062076978031932,54514600
2020-02-10,9.102701187133789,9.102701187133789,8.949583383263066,9.02770474825948,45328100
2020-02-11,9.212071418762207,9.258944119581223,9.143324830628899,9.187072605257484,37518200
2020-02-12,9.415186882019043,9.462060179001305,9.258944148128116,9.262069074328181,64851000
2020-02-13,9.287068367004395,9.440186182594184,9.262069552132974,9.302692998810757,55277100
2020-02-14,9.193323135375977,9.362064989967935,9.168324320028324,9.33081691779745,30399900
2020-02-17,9.174574851989746,9.30269386463243,9.158950218729165,9.258945487521618,38684900
2020-02-18,9.2964448928833,9.30269474678019,9.04645669719651,9.080829701591648,33890900
2020-02-19,9.546432495117188,9.546432495117188,9.299569241725067,9.333942840002248,44181800
2020-02-20,9.349564552307129,9.652675219846431,9.296442002736459,9.624551482072624,73522900
2020-02-21,9.105826377868652,9.274568817253495,9.071453381564087,9.22144626367146,47805100
2020-02-26,8.190244674682617,8.558977660305468,8.133997785298764,8.44960821204343,89207100
2020-02-27,7.905883312225342,8.290240949677054,7.777764298414378,8.037127252716918,100112100
2020-02-28,7.91838264465332,7.987129240320722,7.69339329845372,7.862135159098722,89095300
2020-03-02,8.290241241455078,8.358987842791628,7.962131080668773,7.9683809342499625,71596400
2020-03-03,8.140247344970703,8.587101722261961,8.049626856467485,8.302739954170944,86855700
2020-03-04,8.402734756469727,8.418359388806165,8.19961930424629,8.408984609404301,42320500
2020-03-05,7.902757167816162,8.333986818449851,7.721515038050176,8.227741719768467,69722300
2020-03-06,7.1340436935424805,7.5402745910350255,7.046547542012635,7.530900407812422,138597600
2020-03-09,5.015392780303955,5.696611366681997,4.81540222137421,5.565367413379632,254813800
2020-03-10,5.487244606018066,5.827853811015317,5.115387331293067,5.827853811015317,170478000
2020-03-11,4.952895641326904,5.352876727907509,4.687282828507701,5.218508454146107,132482400
2020-03-12,3.937317132949829,4.331048607837313,3.4623390644375487,4.268551571982901,151535900
2020-03-13,4.812276840209961,4.812276840209961,3.968566004330216,4.718531423563976,174972600
2020-03-16,4.09043550491333,4.406045951668909,3.921693336015893,4.0341880159443795,126432800
2020-03-17,4.062310695648193,4.324798511356185,4.062310695648193,4.249802077727998,149228500
2020-03-18,3.527961254119873,3.834197196570979,3.396717321356455,3.684204002837333,162515200
2020-03-19,3.8154475688934326,4.084184963575404,3.390467440510681,3.459214028772282,157065200
2020-03-20,3.7498257160186768,4.218553930521011,3.6967031612009955,4.09668448746703,149029900
2020-03-23,3.593583106994629,3.8060733339016624,3.5248362162877567,3.7841991471257486,107092400
2020-03-24,4.140432834625244,4.231053616821194,3.837321819138351,3.9279426013343013,114259200
2020-03-25,4.474792003631592,4.6216602635076995,4.009188707311528,4.137307707157108,158286200
2020-03-26,4.496665954589844,4.746654088513498,4.315424408490513,4.499790582756868,130618400
2020-03-27,4.1560564041137695,4.277925534768217,4.140432072540053,4.1560564041137695,101405900
2020-03-30,4.181056022644043,4.293550695276793,4.009188938170295,4.10918420273274,110947200
2020-03-31,4.371671676635742,4.54353874563625,4.249802533424525,4.249802533424525,156116500
2020-04-01,4.46854305267334,4.546664433671093,4.162307084197252,4.202930238077213,114455000
2020-04-02,4.846650123596191,5.171634730117544,4.6904073753023825,4.812276528245542,234951200
2020-04-03,4.7935285568237305,5.112263972314492,4.665409524404311,5.09351440950757,142898700
2020-04-06,4.927896022796631,5.031016204429452,4.743529547147234,5.015391573261609,123934200
2020-04-07,5.124762058258057,5.334127366178041,5.106013095225775,5.190384322899228,140498900
2020-04-08,5.412248611450195,5.477870874522613,5.124761935746388,5.156010604065693,116151600
2020-04-09,5.25600528717041,5.840353353540964,5.156010036373433,5.605989260978536,185771300
2020-04-13,5.290379047393799,5.340376674391859,5.102887648141708,5.256005455325609,93724000
2020-04-14,5.2278828620910645,5.405999521834281,5.190384931628734,5.318503953409604,91017200
2020-04-15,5.118512153625488,5.1466358958997045,4.956019850943586,5.012267633501408,86749600
