Price,Close,High,Low,Open,Volume
Ticker,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA
Date,,,,,
2020-03-24,18.28481674194336,18.918690679988423,17.472158939978886,17.634690500371782,56614470
2020-03-25,19.178739547729492,20.09704406472512,17.88661332609238,18.06539717482733,48278670
2020-03-26,19.706972122192383,20.170188397337125,19.276263867608492,19.69071811191196,55855470
2020-03-27,18.666767120361328,19.52005734412257,18.29294369736469,18.707399582201038,46179430
2020-03-30,19.593196868896484,19.82074275599865,18.552994893688993,18.78053907576563,33248050
2020-03-31,18.7642879486084,19.706971047729926,18.536742047243084,19.463172841996023,44687720
2020-04-01,17.390893936157227,18.187299509189117,17.22023620801672,18.05727595372192,48778180
2020-04-02,17.47215461730957,17.87848427027727,17.187724030734692,17.374635705200337,43071930
2020-04-03,16.78952407836914,17.455902531864012,16.261295300935654,17.407143922961485,41132410
2020-04-06,18.024765014648438,18.431094740400713,17.789094694425852,17.992258704789272,43236270
2020-04-07,18.69114875793457,19.4062877102283,18.626136125907866,19.097478560614338,41854670
2020-04-08,19.650083541870117,19.820742958944134,18.64238786807002,18.69927263540248,45041700
2020-04-09,19.09747886657715,20.072668362601306,19.09747886657715,19.877630463396475,41037700
2020-04-13,19.50380516052246,19.50380516052246,18.70740133186607,19.056842923405785,23762970
2020-04-14,19.747604370117188,20.438364846303966,19.747604370117188,19.87762963080754,37142710
2020-04-15,19.016210556030273,19.893882730553166,18.991832099535685,19.38190786375669,38329610
2020-04-16,18.536739349365234,19.357524931186507,18.52861319836364,19.260006004091192,34178430
2020-04-17,18.869935989379883,19.186873024326154,18.374213348300774,19.048719890486815,27680510
2020-04-20,18.39858627319336,18.666764576854973,18.284813349514145,18.463598885288555,31442180
2020-04-22,18.17917251586914,18.79679247464521,18.04914726138997,18.20355267734039,52856320
2020-04-23,17.91912078857422,18.47985593916,17.748463079929877,18.41484331634068,45600610
2020-04-24,16.968307495117188,17.73220655744287,16.553851657153793,17.667193943841756,75701670
2020-04-27,17.529048919677734,17.99226353322353,17.14709925007553,17.5046687544843,42258370
2020-04-28,18.975574493408203,19.186866344824228,18.35795465045989,18.674891575071275,64094250
2020-04-29,19.227500915527344,19.6013243456339,18.821171174325677,19.503803707323062,34685310
2020-04-30,18.504240036010742,18.95932678754658,18.25231393770316,18.357960751031538,50922410
2020-05-04,17.800825119018555,17.963463844318312,17.71137339356625,17.849615883533605,35246530
2020-05-05,18.459510803222656,19.004352644214453,17.817087437042392,18.052914859055193,57118050
2020-05-06,18.08543586730957,18.52455939171446,17.890269477318718,18.37818545229585,32096790
2020-05-07,17.43488311767578,18.280604232341396,17.182791037348526,18.199284041318162,57420550
2020-05-08,18.150497436523438,18.516435820470882,17.808955286069082,17.906538513891807,39319610
2020-05-11,18.199275970458984,18.72785271232823,18.028505863035864,18.028505863035864,42038150
2020-05-12,17.573131561279297,18.426986180671136,17.55686683506573,18.305006705593758,47573020
2020-05-13,17.564998626708984,17.84148532757384,17.23972115872083,17.678846593579763,38182210
2020-05-14,18.3375301361084,18.370057874730264,16.857515469589377,17.32916853268114,67948870
2020-05-15,17.589385986328125,18.516428861458813,17.589385986328125,18.296864548689296,41544250
2020-05-18,18.435117721557617,18.654680435834415,17.898409054008756,18.256214263658055,54560990
2020-05-19,17.63817596435547,18.475765330924343,17.57312051270252,18.402578374351965,44969980
2020-05-20,17.564998626708984,17.849616837736082,17.369832145916092,17.8333538174116,45535600
2020-05-21,18.57335662841797,18.57335662841797,17.654446692473844,17.66257990709775,66884290
2020-05-22,18.670940399169922,18.988086300519722,18.06104482876251,18.37819073011231,56380720
2020-05-25,19.484140396118164,19.671175379189368,19.020618693791707,19.443479430302713,30974020
2020-05-26,18.711599349975586,19.858205187896086,18.58962160276231,19.785016492188703,58373590
2020-05-27,19.297100067138672,19.297100067138672,18.833578493222383,19.22391307878591,40084110
