Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-03:00,6.626978946314116,6.692722737525217,6.561235155103015,6.61383056640625,14837726,0.0,0.0
2020-01-03 00:00:00-03:00,6.5086405591102485,6.797913122538885,6.370578152257841,6.758466720581055,18547862,0.0,0.0
2020-01-06 00:00:00-03:00,6.705871965289454,6.738743546681557,6.594107579664661,6.633553981781006,10965069,0.0,0.0
2020-01-07 00:00:00-03:00,6.712446502272934,6.883380499904007,6.692723300195709,6.83735990524292,20550918,0.0,0.0
2020-01-08 00:00:00-03:00,6.8373596377489045,7.034591020247673,6.811062246193859,7.008293628692627,16386004,0.0,0.0
2020-01-09 00:00:00-03:00,7.067463626164474,7.330439448030716,7.047740423760573,7.1726531982421875,22656959,0.0,0.0
2020-01-10 00:00:00-03:00,7.2449715833263815,7.310716009588264,6.9885705909113165,7.067463397979736,13849724,0.0,0.0
2020-01-13 00:00:00-03:00,7.133207569210207,7.264695167541504,7.100335354348716,7.264695167541504,10414246,0.0,0.0
2020-01-14 00:00:00-03:00,7.350162040126218,7.547393417231132,7.343587219499301,7.46850061416626,14645033,0.0,0.0
2020-01-15 00:00:00-03:00,7.4947972508722405,7.8629625772012375,7.4947972508722405,7.8300909996032715,22239392,0.0,0.0
2020-01-16 00:00:00-03:00,7.882687180864727,8.25742676338936,7.790645990517856,7.955005168914795,24611541,0.0,0.0
2020-01-17 00:00:00-03:00,7.955005168914795,8.178534584759461,7.84324077627112,7.955005168914795,13974331,0.0,0.0
2020-01-20 00:00:00-03:00,8.027322876679767,8.145661446475657,7.928706876385487,8.066768646240234,9004754,0.0,0.0
2020-01-21 00:00:00-03:00,8.04704580736655,8.204830771998356,7.994450398784466,8.119363784790039,8793657,0.0,0.0
2020-01-22 00:00:00-03:00,8.086492763855274,8.086492763855274,7.665732586157206,7.955005168914795,27684062,0.0,0.0
2020-01-23 00:00:00-03:00,7.8300914817535645,8.099640830772186,7.7774960715780885,7.981302261352539,12256290,0.0,0.0
2020-01-24 00:00:00-03:00,8.020748966385035,8.053621180398812,7.889261371444556,7.955005168914795,8038073,0.0,0.0
2020-01-27 00:00:00-03:00,7.599988862846941,7.678881672803984,7.376460075378419,7.376460075378418,13547812,0.0,0.0
